longitude,latitude,depth,temperature,salinity
-3.6287,36.2992,5,21.713,36.5074
-3.6287,36.2992,6,21.7107,36.5077
-3.6287,36.2992,6.9,21.7046,36.5067
-3.6287,36.2992,7.9,21.7099,36.5077
-3.6287,36.2992,8.9,21.7137,36.5085
-3.6287,36.2992,9.9,21.7132,36.5083
-3.6287,36.2992,10.9,21.7114,36.5076
-3.6287,36.2992,11.9,21.6899,36.5009
-3.6287,36.2992,12.9,21.6625,36.4914
-3.6287,36.2992,13.9,21.6128,36.4643
-3.6287,36.2992,14.9,21.5074,36.4707
-3.6287,36.2992,15.9,21.3538,36.445
-3.6287,36.2992,16.9,21.1762,36.4128
-3.6287,36.2992,17.9,21.0378,36.4153
-3.6287,36.2992,18.9,20.8282,36.389
-3.6287,36.2992,19.9,20.7644,36.3909
-3.6287,36.2992,20.8,20.4221,36.3484
-3.6287,36.2992,21.8,20.3497,36.346
-3.6287,36.2992,22.8,19.9071,36.3087
-3.6287,36.2992,23.8,19.8108,36.3042
-3.6287,36.2992,24.8,19.7464,36.2964
-3.6287,36.2992,25.8,19.5707,36.3102
-3.6287,36.2992,26.8,19.6493,36.3306
-3.6287,36.2992,27.8,19.6802,36.3398
-3.6287,36.2992,28.8,19.4133,36.3398
-3.6287,36.2992,29.8,19.3063,36.3623
-3.6287,36.2992,30.8,19.1329,36.3508
-3.6287,36.2992,31.8,18.9935,36.3586
-3.6287,36.2992,32.8,18.8943,36.3627
-3.6287,36.2992,33.7,18.8484,36.3614
-3.6287,36.2992,34.7,18.5657,36.3652
-3.6287,36.2992,35.7,18.4752,36.3619
-3.6287,36.2992,36.7,18.5219,36.3626
-3.6287,36.2992,37.7,18.2765,36.3526
-3.6287,36.2992,38.7,18.3542,36.3573
-3.6287,36.2992,39.7,18.3464,36.3621
-3.6287,36.2992,40.7,18.3284,36.3552
-3.6287,36.2992,41.7,18.0136,36.3096
-3.6287,36.2992,42.7,17.5056,36.3187
-3.6287,36.2992,43.7,17.3885,36.331
-3.6287,36.2992,44.7,17.0365,36.3607
-3.6287,36.2992,45.7,17.0161,36.3417
-3.6287,36.2992,46.7,16.9353,36.3534
-3.6287,36.2992,47.6,16.8457,36.3674
-3.6287,36.2992,48.6,16.7933,36.3736
-3.6287,36.2992,49.6,16.8189,36.3714
-3.6287,36.2992,50.6,16.7048,36.396
-3.6287,36.2992,51.6,16.702,36.4002
-3.6287,36.2992,52.6,16.6047,36.3907
-3.6287,36.2992,53.6,16.4384,36.3815
-3.6287,36.2992,54.6,16.3602,36.363
-3.6287,36.2992,55.6,16.3826,36.3572
-3.6287,36.2992,56.6,16.2123,36.3364
-3.6287,36.2992,57.6,16.2603,36.3242
-3.6287,36.2992,58.6,16.1737,36.3306
-3.6287,36.2992,59.6,16.136,36.3385
-3.6287,36.2992,60.5,16.1449,36.3417
-3.6287,36.2992,61.5,16.1472,36.3523
-3.6287,36.2992,62.5,16.1565,36.3744
-3.6287,36.2992,63.5,16.1851,36.3862
-3.6287,36.2992,64.5,16.1747,36.3927
-3.6287,36.2992,65.5,16.1401,36.4043
